7271841.02 375152.48 25
7271961.51 375141.64 23
7272087.32 375119.67 21
7272212.73 375101.86 19
7272334.16 375083.01 17
7272457.12 375055.22 16
7272580.61 375038.96 14
7272704.94 375025.04 14
7272828.54 374999.79 14
7272948.10 374977.39 15
7273071.78 374960.80 16
7273195.60 374936.75 14
7272788.90 374005.41 16
7272662.21 374018.68 17
7272537.58 374034.43 16
7272417.39 374065.15 14
7272292.06 374070.05 15
7272170.36 374094.23 18
7272046.01 374110.23 19
7271922.82 374130.70 20
7271799.41 374149.65 24
7271673.67 374169.54 25
7271553.71 374192.08 25
7271426.99 374212.26 29
7271304.15 374230.79 31
7271180.35 374249.69 34
7271058.49 374267.27 34
7270931.95 374282.69 33
7270809.63 374306.38 30
7270686.39 374326.30 32
7270564.45 374345.12 33
7270439.27 374363.47 35
7270314.65 374384.36 36
7270191.84 374402.89 39
7270070.21 374423.49 39
7269947.88 374439.99 42
7269823.35 374462.79 44
7269697.96 374484.46 40
7269576.26 374505.20 47
7269453.28 374523.28 49
7269329.92 374544.25 47
7269083.95 374579.38 49
7268958.03 374602.01 45
7268835.22 374618.37 45
7268713.31 374640.22 47
7268586.84 374662.24 50
7268466.49 374680.13 52
7268340.82 374695.68 53
7268219.85 374719.81 54
7268094.16 374737.80 56
7267969.87 374755.74 56
7267845.59 374774.09 59
7267725.93 374795.28 60
7267600.99 374813.79 61
7267477.22 374833.56 64
7267353.55 374853.96 64
7267231.76 374871.01 64
7267108.15 374892.76 67
7266984.32 374917.30 70
7266858.41 374936.10 71
7266734.15 374947.75 73
7266611.78 374970.06 73
7266488.47 374990.56 73
7266363.91 375009.40 76
7266241.54 375028.80 76
7266118.51 375047.42 79
7265993.09 375066.36 80
7265871.43 375089.66 81
7265749.50 375111.17 85
7265625.51 375129.90 84
7265500.55 375146.31 86
7265379.54 375167.47 86
7265256.23 375187.51 88
7265130.76 375207.14 91
7265007.26 375226.53 91
7264883.18 375246.48 92
7264759.13 375263.34 95
7264638.43 375282.08 97
7264514.50 375301.28 97
7264391.58 375325.68 100
7264266.67 375346.81 101
7264143.32 375364.46 102
7264019.46 375380.18 104
7263896.09 375399.53 107
7263773.65 375423.23 108
7263649.99 375440.83 109
7263527.32 375465.85 110
7263402.20 375477.88 111
7263280.28 375495.94 114
7263156.95 375513.73 114
7263030.91 375539.00 116
7262909.67 375555.87 117
7262783.93 375576.06 119
7262661.64 375591.32 120
7262536.60 375616.43 122
7262414.18 375634.44 123
7262291.95 375655.16 124
7262167.94 375682.05 126
7262046.24 375699.61 127
7261920.56 375719.16 128
7261798.10 375735.36 129
7261676.82 375758.71 131
7261550.16 375774.29 136
7261428.22 375792.90 134
7261304.29 375809.97 135
7261182.15 375829.00 136
7261053.67 375841.48 138
7260933.33 375867.85 140
7260809.98 375885.82 142
7260684.91 375905.87 142
7260563.33 375920.59 144
7260440.59 375944.12 144
7260317.99 375968.35 145
7260191.35 375991.62 146
7260070.53 376002.04 145
7259945.36 376025.57 147
7259821.41 376042.98 147
7259698.42 376064.41 148
7259573.96 376080.57 148
7259450.89 376104.18 149
7259326.93 376123.96 149
7259204.67 376141.52 150
7259079.69 376163.48 150
7258956.26 376177.81 152
7258835.08 376192.38 152
7258708.84 376218.74 152
7258413.87 375252.27 158
7258538.60 375230.60 153
7258664.10 375219.55 151
7258788.34 375199.72 149
7258912.68 375183.32 152
7259034.07 375156.48 150
7259157.38 375142.36 149
7259282.64 375126.03 150
7259405.52 375100.15 148
7259528.43 375083.70 148
7259651.08 375058.20 147
7259775.34 375038.44 147
7259896.78 375019.39 145
7260021.26 375002.06 143
7260143.32 374974.26 143
7260265.70 374955.70 142
7260390.96 374941.27 141
7260513.94 374916.54 141
7260640.82 374902.76 140
7260761.94 374880.11 138
7260885.48 374863.01 137
7261008.28 374836.62 137
7261131.67 374822.06 134
7261254.50 374799.53 132
7261379.49 374784.97 132
7261500.59 374756.23 130
7261627.61 374742.83 130
7261748.85 374719.69 127
7261872.56 374707.68 126
7261997.80 374695.05 124
7262118.58 374670.22 125
7262242.06 374650.78 121
7262365.22 374624.25 122
7262489.23 374605.37 119
7262611.95 374587.56 118
7262735.94 374566.90 116
7262862.43 374556.24 118
7262984.57 374529.86 114
7263106.59 374510.92 112
7263232.52 374494.52 112
7263354.59 374474.18 109
7263477.09 374457.38 110
7263603.83 374435.89 104
7263724.00 374418.16 106
7263847.46 374392.44 105
7263970.91 374376.79 104
7264098.69 374360.58 102
7264220.28 374335.48 99
7264340.89 374310.40 100
7264466.84 374296.39 96
7264588.86 374285.48 96
7264712.83 374262.45 94
7264837.04 374242.99 93
7264959.02 374223.35 90
7265082.94 374203.94 92
7265204.12 374174.09 88
7265332.61 374164.63 88
7265454.64 374143.95 84
7265576.85 374122.98 83
7265701.18 374107.76 83
7265824.37 374094.17 84
7265946.57 374067.88 82
7266070.44 374041.31 80
7266192.23 374021.23 75
7266318.98 374001.86 76
7266443.34 373986.41 75
7266566.70 373969.51 74
7266687.29 373949.78 71
7266811.28 373929.15 70
7266934.22 373905.91 68
7267056.29 373879.59 66
7267181.55 373867.76 66
7267305.08 373848.54 64
7267428.67 373836.92 63
7267551.14 373811.27 61
7267679.34 373796.77 60
7267799.25 373773.98 58
7267920.96 373746.59 57
7268046.39 373732.27 54
7268170.91 373712.67 54
7268291.53 373689.55 52
7268415.63 373667.47 50
7268540.41 373651.82 49
7268663.25 373631.16 46
7268788.78 373612.93 47
7268910.36 373597.82 43
7269036.12 373577.93 43
7269281.08 373533.86 53
7269405.49 373514.91 46
7269528.85 373499.31 43
7269651.65 373475.83 41
7269775.80 373454.14 42
7269898.22 373434.71 39
7270022.99 373421.82 39
7270145.75 373398.15 35
7270268.47 373370.86 36
7270395.96 373370.18 32
7270517.17 373349.94 33
7270637.37 373315.34 34
7270762.48 373300.18 32
7270884.58 373284.21 28
7271006.42 373250.78 30
7271131.75 373239.50 29
7271253.68 373216.06 29
7271379.16 373203.26 28
7271501.79 373179.83 23
7271627.37 373161.70 22
7271749.01 373147.70 20
7271872.09 373121.94 17
7271995.43 373103.27 17
7272120.46 373086.84 14
7272089.34 372070.08 13
7271980.68 372099.19 15
7271855.69 372115.16 20
7271731.72 372131.16 20
7271606.86 372155.44 24
7271483.26 372173.56 24
7271358.67 372191.45 25
7271238.83 372212.06 26
7271113.16 372229.25 24
7270989.84 372251.23 25
7270867.18 372272.63 29
7270742.85 372289.92 29
7270621.65 372312.44 28
7269540.65 372480.08 44
7270375.26 372356.21 32
7270126.47 372389.88 33
7270003.61 372413.26 33
7269881.43 372431.16 34
7269758.29 372450.94 38
7269635.49 372469.91 40
7269386.70 372503.37 25
7269262.05 372519.26 39
7269138.95 372543.30 42
7269016.44 372566.87 48
7268890.87 372582.88 39
7268770.28 372605.09 45
7268644.01 372628.88 47
7268522.72 372643.54 47
7268397.77 372659.18 50
7268275.25 372682.52 51
7268150.98 372702.44 52
7268027.55 372721.56 53
7267905.99 372740.27 57
7267779.19 372761.21 59
7267655.16 372781.18 59
7267535.80 372797.84 59
7267409.27 372818.71 62
7267287.24 372833.22 62
7267162.93 372859.28 66
7267042.74 372881.89 66
7266914.92 372897.27 68
7266793.84 372918.19 69
7266670.51 372936.19 71
7266547.73 372952.17 71
7266422.89 372975.69 74
7266298.57 372997.71 74
7266175.89 373011.45 77
7266051.74 373032.84 79
7265929.17 373049.16 81
7265803.10 373072.60 81
7265681.26 373093.12 86
7265560.02 373112.85 87
7265433.17 373128.91 86
7265310.98 373150.30 86
7265188.46 373168.59 91
7265066.06 373187.65 99
7264939.40 373209.41 100
7264816.01 373225.68 90
7264694.36 373247.09 92
7264568.36 373265.26 93
7264446.44 373288.00 98
7264322.29 373306.60 97
7264198.20 373324.55 101
7264078.42 373347.66 100
7263955.36 373365.06 100
7263831.27 373386.50 104
7263705.85 373406.90 104
7263584.03 373424.78 105
7263458.25 373445.86 107
7263334.93 373462.91 108
7263213.88 373482.65 111
7263090.51 373499.82 109
7262966.09 373519.35 115
7262840.81 373542.30 112
7262718.23 373562.72 117
7262594.10 373582.13 115
7262472.42 373599.47 117
7262346.63 373617.76 117
7262226.04 373640.73 119
